ulasan,rating,tangibles,reliability,emphaty,assurance,kategori
lingkungan kondisi ruang kelas lab da aspek parkir toiler,5,1,1,0,1,"tangibles, reliability, assurance"
bagian banyak alat kuliah tidak baik mana kursi rusak proyektor masalah kegiatan kuliah kadang ganggu lambat harus mencari proyektor lanjut kuliah,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lalu laboratorium minim kursi mana mahasiswa harus ambil kursi ruang lain kursi berbeda mahasiswa,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
toilet bau tidak sedap mana toilet kurang bersih,1,1,0,0,0,tangibles
penjelasan materi kuliah dosen susah materi mahasiswa kesusahan menerima pelajaran bosan dengar materi bawa materi kurang menarik perhatian,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
akademik fasilkom-ti bilang kurang mengalami kemunduran ajar daring membuat sistem kbm tidak kurang efektif,1,0,1,1,1,"reliability, emphaty, assurance"
zin melaksanakan kegiatan offline,1,0,0,0,0,umum
bobot materi kurang tidak sesuai tugas,1,0,0,0,1,assurance
dosen tugas tidak sesuai sop deadline tidak sesuai pengumpulan lebih cepat deadline,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lingkungan tidak baik ruang kelas kurang nyaman toilet tidak bersih membuat mahasiswa merasa tidak nyaman berada lingkungan kampus,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kondisi ruang kuliah enak ajar mana ruang kuliah milik ac menunjang kenyamanan melaksanakan kuliah,5,1,1,0,1,"tangibles, reliability, assurance"
laboratorium kondisi bagus mana tersedia komputer spesifikasi bagus menunjang kuliah,5,0,0,0,0,umum
dosen materi baik mana dosen milik pengetahuan lengkap materi terima lengkap,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen modul isi tentang materi bahasa mudah erti lengkap sesuai penjelasan kuliah mahasiswa ulang materi tempat baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen datang mahasiswa antusias mengikuti kuliah baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang kelas bagus toilet rapi,4,1,1,0,1,"tangibles, reliability, assurance"
keramik ruang kelas bagus bagus,4,1,1,0,1,"tangibles, reliability, assurance"
ruang lab bagus,4,1,1,0,1,"tangibles, reliability, assurance"
materi dosen memuaskan,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mushola shalat nyaman rapi,4,0,0,0,0,umum
tempat parkir tertata rapi,4,0,0,0,0,umum
proyektor kelas bagus,4,1,0,0,0,tangibles
kursi kelas bagus,4,1,0,0,0,tangibles
dingin ruang bagus dingin,4,1,1,0,1,"tangibles, reliability, assurance"
lantai bersih,4,1,0,0,0,tangibles
tempat duduk mana bagus,4,0,0,0,0,umum
terima kasih,4,0,0,0,0,umum
nilai kampus fasilkom-ti usu segi aspek ruang kelas memuaskan,1,1,1,0,1,"tangibles, reliability, assurance"
ruang kelas memikiki masalah,1,1,1,0,1,"tangibles, reliability, assurance"
contoh proyektor tidak nyala lantai keramik retak lain,1,0,0,0,0,umum
kurang kenyamanan mahasiswa dosen ajar,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laboratorium komputer komputer tidak,1,0,0,0,0,umum
tidak mouse keyboard lain,1,0,0,0,0,umum
dapat aspek tangible fasilitas lengkap,4,1,1,0,1,"tangibles, reliability, assurance"
tersedia colok laptop wifi sering terjadi ganggu jaringan proyektor kadang masalah lab fasilitas lengkap tersedia wifi lan jg colok laptop,4,1,1,0,1,"tangibles, reliability, assurance"
materi kes terburu buru mahasiswa kurang memahami materi modul lengkap isi penjelasan materi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
baik,4,1,1,0,1,"tangibles, reliability, assurance"
tanggap,4,0,0,0,0,umum
empathy baik,4,1,1,0,1,"tangibles, reliability, assurance"
aspek sayaa ruang kuliah fasilkom ti udah ok bangett,4,1,1,0,1,"tangibles, reliability, assurance"
arsitektur ruang bagus suka ruang luas acnya banyak dingin,4,1,1,0,1,"tangibles, reliability, assurance"
aspek dosen ramah baik seru menilai keaktifan lagi sepertinya sibuk sulit temu staf akademik ramah urus kepentingan akademik sepertinya mudah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek rasa baik,4,1,1,0,1,"tangibles, reliability, assurance"
aspek empathy lumayan,4,0,0,0,0,umum
kuliah fasilkom-ti tidak puas kecewa urus berkas mahasiswa staf fakultas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
membuat tidak puas staf terkadang tidak ramah mahasiswa urus berkas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sampai marah,1,0,0,0,0,umum
mahasiswa tentang berkas tidak responsif jawab tidak ramah tidak memberi jawaban butuh mahasiswa mahasiswa kesulitan urus berkas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tentang berkas bilang pakai asa usu tidak jelas mahasiswa bingung maka,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang kuliah sebenarnya baik,2,1,1,0,1,"tangibles, reliability, assurance"
kelas perlu perhati tempat lantai kelas hancur bangku rusak serta ac tidak dingin,2,1,0,0,0,tangibles
lab sendiri cenderung kecil perlu perhati kondisi jaringan wifi tidak stabil serta papan tulis perlu baik ganti,2,1,1,0,1,"tangibles, reliability, assurance"
toilet sendiri bersih toilet tidak pakai kunci perlu sedia sabun cuci tangan wastafel serta perbaikan pintu sulit buka,2,1,0,0,0,tangibles
tempat ibadah nyaman alat ibadah mungkin tambah lagi,2,0,0,0,0,umum
tenaga pengajar fasilkom ti ajar baik materi mudah erti hanya saja dosen jarang masuk kelas harus ganti kelas online,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
modul isi materi susun baik paham lumayan sulit kualitas layanan,2,1,1,0,1,"tangibles, reliability, assurance"
urus berkas mahasiswa staf kurang baik sulit urus berkas administrasi masalah karna harus bagi biro lida,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
staf trama tu sepertinya kurang ramah karan urus administrasi kemarin kurang memuaskan tidak menunjukkan senyum sama sekali,2,1,1,0,1,"tangibles, reliability, assurance"
bimbingan dosen pa hanya dar saja,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
blm bimbingan dosen pa bimbingan tugas,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas mungkin tingkat kepedulian mahasiswa membantu mahasiswa kesulitan bidang akademik membantu mahasiswa kurang mampu,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kepentingan fakultas perhati kepentingan mahasiswa harus tingkat serta monitor mahasiswa melalui dosen pa harus perhati agar mahasiswa kualitas belajar baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
serta harus lebih banyk wadah tampung aspirasi siswa bidang minat bakat agar arah salur baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
nilai banyak harus baik lab infokusnya tidak fungsi ac rusak lampu tidak menyala baik kamar mandi perempuan layak hanya satu sisa rusak lampu mati kelas ac kurang dingin stop kontak rusak,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen dosen suka hilang kabar saat kelas sebentar lagi dimulai,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kadang infokus kelas sering kali tidak fungsi baik kira kira saja nilai,1,1,1,0,1,"tangibles, reliability, assurance"
fasilitas sedia fasilkom-ti kurang,1,1,1,0,1,"tangibles, reliability, assurance"
ruang kelas ac kadang panas lalu kursi sedia tidak nyaman kurang layak pakai lalu lantai keluar air tidak tahu darimana asal bahaya orang lain,1,1,1,0,1,"tangibles, reliability, assurance"
lalu toilet bola lampu banyak tidak nyala gelap wastafel toilet jugak rusak tidak sedia sabun cuci tangan,1,1,0,0,0,tangibles
musholla tidak menyediakan kipas angin sajadah kotor,1,0,0,0,0,umum
fasilitas penunjang akademik pihak kampus mencukupi fasilitas fisik lantai parkir dll kurang pada,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
andal dosen staff kurang banyak dosen tidak abar tidak masuk,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa kurang enak sikap tanggap cenderung lambat,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
paham kepentingan mahasiswa cenderung lambat,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang ibadah kurang pada sejadah muka sedikit kasar serta mukena kurang,1,1,1,0,1,"tangibles, reliability, assurance"
fasilkom ti milik ruang kuliah kurang bersih lantai tidak layak toilet bau serta lab bilang kurang bersih banyak debu,1,1,1,0,1,"tangibles, reliability, assurance"
matkul tidak baik rinci dosen,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen sering lambat masuk lebih 15 menit,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
jaringan internet kurang andal,1,0,0,0,0,umum
proyektor serta kabel kadang sering masalah menghambat kegiatan kek aja,1,0,0,0,0,umum
mahasiswa masalah kadang tidak duli kes tidak baik,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
nilai fasilitas dapatkan baik ruang kelas nyaman bersih toilet bersih sayang fasilitas tempat ibadah minim andal dosen staf baik laku mahasiswa kurang baik bimbingan dosen pembimbing akademik tidak laksana,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pihak fakultas ayom mahasiswa baik mengalama kendala kuliah,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap kurang fakultas mahasiswa keringanan biaya,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kepentingan mahasiswa baik,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang kuliah pada bagi jam kelas merata,5,1,1,0,1,"tangibles, reliability, assurance"
dosen staff memberi kabar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
materi terang dosen mudah paham,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
urus berkas cepat tanggap keluhan mahasiswa tampung,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa kesulitan mau membantu,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas pada parkir sedia tampung kendara mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas membantu mahasiswa kekurangan segi ekonomi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas menyediakan sarana kembang minat bakat mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang kuliah fasilkom ti nyaman dingin hihi bersih jadi semangat belajar ruang solat bersih nyaman ruang laboratorium nyaman aslab enak kali ngajak seru sama adek-adek aslab terdebest la laboratorium layak jadi tempat belajar lab stop kontak tidak nyala toilet bersi krna bersih pagi bersih wangi hihi jalan menuju toilet ud ujan basah dosen jelas materi asik tidak langsung meminta murid lebih banya belajar mandiri emang la perbedaan pelajar banding mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
milik banyak kekurangan meskipun aspek krusial menjalani kuliah,1,1,0,0,0,tangibles
jadwal dadak ubah pemberitahuan membuat mahasiswa contoh rumah jauh tidak mengikuti kuliah,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lalu kelas harus ganti tunda menumpuk semester membuat kesibukan harus tanggung mahasiswa,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
belum lagi ajar ada tengah malam tidak efektif bagi mahasiswa,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dapat fasilkom ti milik fasilitas mumpuni mulai ruang kelas bersih alat prasarana baik laboratorium layak pakai jaringan internet kencang,5,1,1,0,1,"tangibles, reliability, assurance"
dosen pengajar tugas baik materi rinci serta perhati mahasiswa menerima baik tidak,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
materi berguna bagi mahasiswa depan,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas toilet bagus rutin dibersikan,5,1,1,0,1,"tangibles, reliability, assurance"
tata usaha mau membamtu mahasiswa kesulitan masalah administrasi data data,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas sendiri hubung nama teknologi pasti berkaitan erat internet,4,1,1,0,1,"tangibles, reliability, assurance"
fasilitas wifi fasilkom sendiri sanagt amat kurang pada artian lambat,4,1,1,0,1,"tangibles, reliability, assurance"
parking area becek tanah tidak padat,4,0,0,0,0,umum
spot tempat duduk kurang banyak,4,1,0,0,0,tangibles
dosen memang dosen tidak bidang kadang tidak jelas materi diskusi,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
butuh tempat buang bab hewan kucing,4,0,0,0,0,umum
terjadi kali kotoran kucing area fasilkom,4,1,0,0,0,tangibles
ruang kuliah nyaman bersih dingin lab nyaman keren toilet bersih nyamaan ruang ibadah luas berrsihhh,4,1,1,0,1,"tangibles, reliability, assurance"
jelass bermanfaat membantu sekali dosen disiplin lumayan memuaskan membantu,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan terbaik cepat mudah berkas mahasiswa santunan ramah sopan mengharfgai satu sama lain bimbingan dosen sebagai motivasi membantu mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
membantu mahasiswa layanan baik membantu satu sama lain,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
membantu memahami kepentingan kesulitan mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kuliah fasilkom ti fasilitas kurng pada termasuk musolla kemudia dosen dosen kadang suka membuat jadwal sendiri paksa harus ganti serta para staf yabg kurang ramah membuat segan urus administrasi fasilkom tempat parkir kurang luas sebenarnya kurang gitu pintu pintu fasilkom banyak tutup tidak mem cepat akses si ruang lab tidak efektifitas termasuk alat lab,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
rasa fakultas lumayan buruk banyak mekiliki kekurangan membuat mahasiswa kurang nyaman proses ajar,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
contoh tempat ibadah mushola laki laki tidak pada solat fakultas sebelah masjid fakultas kedoktetan gigi,1,1,1,0,0,"tangibles, reliability"
toilet,1,1,0,0,0,tangibles
toilet letak lantai milik aroma kurang sedap toilet susah siram batas ember mau pun air terkadang tidak,1,1,0,0,0,tangibles
dpaat membuat mahasiswa kurang nyaman selesai hajat,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen sering telat datang kampus mahasiswa harus menunggu lama mahasiswa lambat tidak kenan masuk ruang kuliah,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas bagus tp butuh lengkap toilet perempuan baik westafel lampu dsb,1,1,1,0,1,"tangibles, reliability, assurance"
tidak kantin fakultas para mahasiswa tidak bawa bekal harus membeli fkg utk makan siang,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tempat ibadah tidak sedia utk mahasiswa kristen ibadah kelas gereja gema dsb,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
utk mahasiswa islam ibadah masjid fkg andal dosen kurang dosen ngajarnya asik ngajar cmn membaca ppt ga pake ppt samsek,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang kuliah du fasilkom ti pada lengkap pake ac alat ajar pada lab fasilitas komputer toilet bersih karna cs mem sih,5,1,1,0,1,"tangibles, reliability, assurance"
kuliah menurur efektif tambah materi bawa tidak membosankan para staff dosen ramah membuat senang fasilkom fakultas membantu mahasiswa kembang bakat baik seni olahraga skill,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kumuh tidak terawat banyak rongsokan tumpuk keramik banyak pecah ac terkadang tidak fungsi baik sekali fungsi bocor fasilitas monitor lab tidak harap toilet gelap tidak lampu tidak sabun cuci tangan barang serak belakang membuat tidak nyaman tidak enak kantin tidak harus pergi fakultas sebelah bersih kurang gedung karna kucing biar masuk lebih ekstra awat tempat sampah posisi luar bertumpuk biar saja pulang lebih baik tempat sampah bersih lagi posisi dalam,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas bagus laboratorium lengkap kelas bersih banyak tempat duduk fakultas,4,1,1,0,1,"tangibles, reliability, assurance"
dosen memuaskan karna banyak dosen ngajar mudah mengerti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa memuaskan data mahasiswa berita,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas info event seminar tentang ilmu komputer menanambah wawas,4,1,1,0,0,"tangibles, reliability"
fakultas utama giat menambah wawas serta nilai akademik mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fakultas ilmu komputer teknologi informasi dapatkan kurang memuaskan bagi,2,1,1,0,1,"tangibles, reliability, assurance"
segi bersih rasa kurang toilet,2,1,0,0,0,tangibles
kadang hewan pelihara kucing liar membuat bersih kurang maksimal,2,1,0,0,0,tangibles
fasilitas toilet tidak baik,2,1,1,0,1,"tangibles, reliability, assurance"
ruang kuliah proyektor kadang masalah,2,1,1,0,1,"tangibles, reliability, assurance"
pelayanan staf kurang ramah membuat mahasiswa urus berkas penting jadi takut,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kadang-kadang masuk kelas dosen hadir tidak,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kampus tetap kurang tidak maju kuliatas komputer lab tidak terlalu bagus,2,1,1,0,1,"tangibles, reliability, assurance"
mas banyak kekurangan tidak ekspektasi,2,1,0,0,0,tangibles
laku mahasiswa mas kurang,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
moga depan lebih bagus lagi,2,0,0,0,0,umum
banyak harus kembang lagi melihat fasilkom ti termasuk salah satu jurus favorit universitas sumatera utara,2,1,0,1,1,"tangibles, emphaty, assurance"
banyak harap siswa fasilkom ti agar lebih kembang depan,2,1,0,0,1,"tangibles, assurance"
fisik kampus mas kekurangan,2,0,1,0,0,reliability
halo salah satu mahasiswa fasilkom ti bagus enak pakai fakultas ilmu komputer twknologi informiasi suka ruang kelas can kekurqngan bersih,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang toilet bagus dosen menarik mahasiswa ramah mahasiswa membantu satu sama lain jadi simpul fakuktas layak pakai banyak mahasiswa masuk le fakultas ilmu komputer twknologoi informasi terima kasih atas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
bagi sendiri fasilitas pelayanan dapatkan fasilkom-ti memuaskan,5,1,1,0,1,"tangibles, reliability, assurance"
mulai ruang kuliah luas ac serta proyektor dukung proses ajar jalan sesuai harap,5,1,1,0,1,"tangibles, reliability, assurance"
petugas bersih ramah tugas,5,1,0,0,0,tangibles
pelayanan staf akademik baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen ajar mata kuliah menyampaikan materi baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tersedia laboratorium tempat mahasiswa selesai mata kuliah butuh,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fakultas kurang pada toilet gedung lantai lampu tidak menyala menyala hanya toilet tidak bersih ruang laboratorium debu tidak terawat wifi tidak jalan lancar butuh laboratorium,3,1,1,0,1,"tangibles, reliability, assurance"
dosen staff akademik baik dosen tidak modul pelajaran mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap baik,3,1,1,0,1,"tangibles, reliability, assurance"
paham kepentingan mahasiswa sudak baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan akdemik fasilkom-ti usu mash kurang dapat karena kurang tenaga dosen pengajar mahasiswa harus lebih ekstra belajar pribadi,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas lab mash tidak jalan dgn sempurna,2,1,1,0,1,"tangibles, reliability, assurance"
lingkungan fasilkom ti mash tidak nyaman mana kotoran kucing sebab lingkungan bau,2,1,0,0,1,"tangibles, assurance"
kelas bagus karena proyektor ac semua jalan lancar,2,1,0,0,0,tangibles
aspek fasilitas kampus banyak fasilitas pada sulit mengimbangi ilkom ti dosen dosen kompeten oknum perilaku mahasiswa baik nama rasisme tidak mudah musnah negara info fakultas cepat terkadang sikap tanggap fakultas sedikit kurang meng-enakan kadang urus lama walau tidak perlu,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
paham mahasiswa kurang fakultas memanage mahasiswa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek fasilitas banyak bagi mahasiswa mahasiswa ilmu komputer teknologi informasi terkadang ketidakseimbangan dua prodi aspek banyak dosen kompeten oknum dosen sedikit berbeda dosen laku mahasiswa baik buruk rasisme negara sulit rang tanggap fakultas informasi tidak telat,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
menyadari fasilkom-ti berkaitan erat teknologi perhati suhu ruang ruang milik ac baik,5,1,1,0,1,"tangibles, reliability, assurance"
laboratorium milik perangkat komputer milik spesifikasi bagus praktikum,5,0,0,0,0,umum
lantai milik toilet mungkin sepele tetap perhati fasilkom-ti,5,1,0,0,0,tangibles
bersih rutin bersih tetap terjaga,5,1,0,0,0,tangibles
kualitas ajar baik,5,1,1,0,1,"tangibles, reliability, assurance"
dosen milik ajar berbeda semua ajar friendly fleksibel mahasiswa tidak takut bertanya diskus dosen milik peran sebagai fasilitator,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
modul lengkap mudah paham,5,0,0,0,0,umum
staf akademik ramah masyarakat fasilkom-ti,5,0,1,1,0,"reliability, emphaty"
dosen pembimbing akademik terbuka mahasiswa butuh fasilitas konseling,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pihak fakultas fasilkom-ti sering survei ada kuesioner membantu mahasiswa memenuhi butuh menunjang maju mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
hal terkait bidang non akademik olahraga seni hobi mahasiswa salur baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
semua civitas akademika fasilkom-ti ramah pandang status sosial ekonomi,5,0,0,0,0,umum
ruang kuliah kurang gambar fakultas berkaitan it,1,1,1,0,1,"tangibles, reliability, assurance"
kelas milik masalah proyektor tidak fungsi,1,1,0,0,0,tangibles
laboratorium milik kendala perangkat tidak hidup mengalami rusa tidak praktikum,1,0,0,0,0,umum
tidak semua toilet menyediakan sabun wastafel,1,1,0,0,0,tangibles
khusus toilet lantai aroma terkadang kurang sedap,1,1,0,0,0,tangibles
dosen mengalami penurunan kualitas ajar,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen jarang masuk hanya tugas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
peran dosen sebagai fasilitator kurang,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lambat dosen memasuki kelas bukan langka,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pertemuan dosen aju undur 15-30 menit alas kurang profesional sempat,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen milik wawas pengetahuan bagus kurang sampai sebar pengetahuan mahasiswa,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
wifinya gk lancar lannya susah bangkynya bangak goyang kurang baik sij,3,1,1,0,1,"tangibles, reliability, assurance"
gedung makin baik dah,3,1,1,0,1,"tangibles, reliability, assurance"
sekaranh pintu banyak gk lancar lantai banyak retak lantai atas banyak tidak bersih,3,1,0,0,0,tangibles
gerbang sebelah kiri tidak buka,3,0,0,0,0,umum
kekurangan kantin nih,3,0,0,0,0,umum
smoga makin baik tidak baca gk masalah dah terima kasih moga makin baik stelah baik,3,1,1,0,1,"tangibles, reliability, assurance"
sekaranh pintu banyak gk lancar lantai banyak retak lantai atas banyak tidak bersih,3,1,0,0,0,tangibles
gerbang sebelah kiri tidak buka,3,0,0,0,0,umum
kekurangan kantin nih,3,0,0,0,0,umum
smoga makin baik tidak baca gk masalah dah terima kasih moga makin baik stelah baik,3,1,1,0,1,"tangibles, reliability, assurance"
ruang kelas gedung mengalami masalah proyektor proyektor penting langsung kegiatan belajar ajar,1,1,1,0,1,"tangibles, reliability, assurance"
stok cok sambung kendala,1,0,0,0,0,umum
cok sambung butuh menyalakan proyektor,1,0,0,0,0,umum
lalu kamar mandi tidak sedia sabun kekurangan kamar mandi,1,0,0,0,0,umum
laboratorium terkadang alat laboratorium rusak tidak praktikan sebab kurang efisien kegiatan belajar praktikan laboratorium,1,0,0,0,0,umum
ruang kelas gedung fasilkom-ti nyaman ac menyala bagus kursi papan tulis bagus nyaman,5,1,1,0,1,"tangibles, reliability, assurance"
ruang kelas cantik bersih serta bagus,5,1,1,0,1,"tangibles, reliability, assurance"
laboratorium milik perangkat spesifikasi tinggi praktikan nyaman mengikuti ajar,5,0,1,0,1,"reliability, assurance"
kamar mandi bersih sering bersih air jalan lancar,5,1,0,0,0,tangibles
tempat parkir sedia luas terjaga para mahasiswa tidak perlu khawatir parkir kendara tempat parkir,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek sayaa ruang kuliah fasilkom ti baguss banget ruang penuh kaca,4,1,1,0,1,"tangibles, reliability, assurance"
bagian luaras cat,4,0,0,0,0,umum
arsitektur ruang bagus suka ruang luas acnya banyak dingin,4,1,1,0,1,"tangibles, reliability, assurance"
aspek dosen ramah baik seru menilai keaktifan lagi sepertinya sibuk sulit temu staf akademik ramah urus kepentingan akademik sepertinya mudah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek rasa baik,4,1,1,0,1,"tangibles, reliability, assurance"
aspek empathy baikk,4,0,0,0,0,umum
aspek fasilitas fisik kampus dapatkan fasilkom ti usu jauh kata memuaskan,3,1,1,0,1,"tangibles, reliability, assurance"
ruang kuliah terkadang tidak dingin meja kursi kurang layak pakai papan tulis hitam,3,1,1,0,1,"tangibles, reliability, assurance"
komputer laboratorium banyak tidak ruang laboratorium panas,3,1,1,0,1,"tangibles, reliability, assurance"
lampu toilet lama tidak hidup belum ganti,3,1,0,0,0,tangibles
wastafel tidak keluar air,3,0,0,0,0,umum
lantai gelembung basah,3,0,0,0,0,umum
bahaya orang jadi rentan terpeleset,3,0,0,0,0,umum
wifi lelet tidak jangkau wilayah fasilkom ti,3,1,0,0,1,"tangibles, assurance"
harus mahasiswa hostpot pribadi keperluan ajar kampus,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
andal dosen staf akademik baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
meskipun dosen datang tidak besar dosen datang,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
modul bagus,3,0,0,0,0,umum
dosen mudah,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen hanya materi saja ppt sulit paham,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
bidang laku mahasiswa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa perlu urus berkas tanggap cepat,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
santun kurang staf akademik sedikit ketus menanggapi,3,0,1,1,0,"reliability, emphaty"
aspek fasilitas fisik kampus dapatkan fasilkom ti usu jauh kata memuaskan,4,1,1,0,1,"tangibles, reliability, assurance"
ruang kuliah terkadang tidak dingin meja kursi kurang layak pakai papan tulis hitam,4,1,1,0,1,"tangibles, reliability, assurance"
komputer laboratorium banyak tidak ruang laboratorium panas,4,1,1,0,1,"tangibles, reliability, assurance"
lampu toilet lama tidak hidup belum ganti,4,1,0,0,0,tangibles
wastafel tidak keluar air,4,0,0,0,0,umum
lantai gelembung basah,4,0,0,0,0,umum
bahaya orang jadi rentan terpeleset,4,0,0,0,0,umum
wifi lelet tidak jangkau wilayah fasilkom ti,4,1,0,0,1,"tangibles, assurance"
harus mahasiswa hostpot pribadi keperluan ajar kampus,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
andal dosen staf akademik baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
meskipun dosen datang tidak besar dosen datang,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
modul bagus,4,0,0,0,0,umum
dosen mudah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
